,TRUE,pred,wrong,text
561,1,2,1,"(This, and the whole series) Needs a re-read. This was my shit in middle school but all the hate has distorted my views of this book series (phenomena, really) and I need a refresh to form my own opinion. Thus, I've abstained from rating any books in this series until I reread them again. Back when I first read them, they all would have been 5 stars. After I thought it was ""cool"" to hate on this, they'd be 2 stars. The new rating will reflect my current opinion."
375,1,1,0,the writing was beautiful but I'm not sure about the story.
177,3,3,0,"Not nearly as strong as the first two books. Overly long, very repetitive. This is overloaded with dead end subplots and boring retreads of stuff already done better in the first two books. I was fine with how everyone ultimately ended up, but it was such a drag to get there. However, I was pleasantly surprised and very glad that (big spoiler about the ending under the tag)  the protagonist's love interest dies at the end both because I thought that was a bold and novel choice and because he was such an annoying character and their relationship was implausible."
680,2,2,0,"Ok so I'll say it... At first I was a little unsure how I felt about the book, since Gemma kept going back and forth on her decision making.. It was kind of getting annoying. But.... That twist blew me away,( still not sure how I feel about it though) . So yes it's a must read simply because that twist was so not expected!"
424,1,1,0,review to come
413,1,1,0,"Love this series. Full Review on last part or can be located here For more reviews, visit Live Read and Breathe Like us on Facebook Live Read and Breathe Facebook Follow along with Twitter Live Read and Breathe Twitter"
816,1,2,1,"Deviant, dark and delicious!! I need more Fiona and Deacon as soon as possible. Full review to follow."
761,2,2,0,"A well written pot boiler with some interesting social commentary. The homeless former employees of the blue book factory was bittersweet. Well drawn main characters, who we all love to love and hate, in equal measure."
248,2,2,0,"I wish I could say this was the book that would make me die anticipating the next, but it isn't. Right now I'm rather glad I got it cheap. Even for urban fantasy it's plot was implausible, and the love triangle wasn't erotic, it was yucky. I'm of only one mind here---if a fourteen y/o is going to have sex in this series, it better damn well happen with another child--not a full-out man. I think I'll check out Burned when it's on the shelves...of my library."
491,1,1,0,I LOOOVEDDDDDD this one.
35,3,3,0,"Another strong installment in the Mistborn series. I thought the plot took a while to get going but once it did it was quite interesting and the characters remain compelling. I loved everything about the villain in this book, a great character with fascinating motivations. I also appreciated all the detail about the difficulties of industrialization in Elendel."
873,1,1,0,"Fun read! But I must say... with that ending, there better be another book coming soon!"
603,4,4,0,"This well written update to Catcher in the Rye depicts the confusion of high schoolers trying to find their way into adulthood. At first I mistook ""wall flower"" as code for a gay character, but it turns out that the author character is only a wimp, a soft-hearted crybaby, who I am surprised is not beaten, or at least ostracized by the end of the story, because that is the likely result of such a personality at my high school, which pre-dates the era in which this was written. And Ohio, my home state, is not far, or different, from Pennsylvania. Of course, he has to be soft-hearted in order to get away with some of the scenes he is witness to here. Nonetheless, he does a decent job of teasing out the small hypocrisies, the animal instincts, and most of all the sadness of the whole high school experience."
402,1,1,0,review to come
517,3,3,0,"Very well-written; excellent character development. In several spots, the extended time spent completing the book (which Johnson refers to in her Acknowledgments) is evident: for example, Facebook no longer has ""walls,"" there are absolutely no public telephones available anywhere in 2017, and my biggest personal complaint,  no teacher, especially not a 23 year old college grad, should need ""cyberbullying"" announced to them as if the term is new or unfamiliar. Overall, an excellent view inside the lives, minds, and hearts of teens today."
866,1,1,0,Review to come soon...
511,4,4,0,"I have endless respect and admiration for David Levithan. His books are so meaningful and so beautiful. I loved getting to see a different perspective on Every Day, since it was one of the most thought-provoking books I've ever read. While this book wasn't quite as perfect as the original (and I never expected it to be), Rhiannon's POV still proved to be insightful and was written with the same literary excellence. I will say that I was uncomfortable with the amount of infidelity in this book, because I don't believe that cheating on a partner is ever really justified. I think now more than ever, I really need the sequel to A's story."
903,1,2,1,3.5stars. Not as good as the first one until the middle end of the book but still good none the less. The ending is just as vague and infuriating though (although that could be me just being dramatic).
601,4,1,1,"The pace is slower than Hobbit and there is much more scenery, but the story somehow manages to hold one's interest. There is an adventure underneath the overgrowth; and perhaps there is some use for this surfeit of nature--like the green of the surrounding garden, a comfortable home (as per Japanese architecture) is not complete if it does not interact with its environment. The power of the Ring is well depicted--my sons would sometimes scream in warning as Frodo fingered the ring, ""Don't put on the ring!!!"" Thank you for the memories, J.R.R."
290,2,3,1,"For this review and more Live Read and Breathe I know some people have said that it was too much sex and not enough story but I have to disagree on that one. Even though there was a LOT of sex I felt like that was part of the story of Bennett and Chloe. Bennett and Chloe were so much alike that created such a hate/love relationship between the two that the only outlet valve was pure hot raw sex. Once that valve was opened they were able to really see each other for what they are and what they mean to each other. I liked the love story part of it and I especially liked the very raw, unhibitied sex scenes between the two."
310,2,2,0,"I don't know what was about this book that made me like it so much. It isn't the best of Stephen King, it didn't impress me AT ALL, but after I finished, I keep missing Dev so much! I was unhappy for a while for wasn't be able to know about him anymore and sighing everytime I thought about him. I don't think this book is amazing, brilliant or anything like that, but the way it make me feel about Devin - even so long after I finished the book - deserve a five star rating."
194,3,2,1,"This is a perfect little book detailing the events of one summer from the perspective of 10-year-old Helen. She reminds me so much of myself at that age: clever, headstrong, and always so sure that she's right about everything. I enjoyed getting to know her and remember what it was like to be a girl just beginning to grow up."
686,2,2,0,"Although it is long, it was hard to find a place to put it down. Some very interesting characters, especially the women."
849,1,1,0,"One of the best books I have read, not to be missed. Great story and characters. And it's hot"
519,3,2,1,"This should be 3.5 stars. I really enjoyed it, but found it all kind of random and leading nowhere. That being said, it was very imaginative and entertaining. Hrun the Barbarian was one of my favorites, as was anything the Luggage did."
955,1,1,0,"R.I.P. Ms. Harper Lee, Feb. Thank you for writing one of the great American novels."
512,4,4,0,"Absolutely captivating. Once you begin reading, you won't be able to put it down. One tells the story of a set of conjoined twins who, against all odds, have made it into their teens. Homeschooled for their entire lives, hard times have forced the family to send them to public school for the first time. The fact that One is written completely in free verse poetry adds power and emotion to the story and pulls the reader in. One tells a heartbreaking but important story of acceptance and love that is perfect for fans of The Fault in Our Stars, If I Stay, and All the Bright Places."
728,2,2,0,"...disappointed at all the hype this book had but I guess it just wasn't the book for me. If I had to describe it in one word, PRETENTIOUS. Also, it didn't help that halfway through the book I was extremely bored and I had to FORCE myself to finish it...maybe I'm missing something?"
973,1,1,0,very well written ... more later
917,1,1,0,"Love the show on Netflix, hopefully the book will be good too."
340,2,3,1,"3.5 stars I didn't realize at first that this is an extension of the Dark Protector series, which I did not complete. While most readers would not find this to be a stumbling block, that sort of thing drives me crazy- I always feel haunted by what I'm missing. Aside from that, the story was HOT and fast-paced, with intriguing characters that I enjoyed spending time with. I did feel that at times the hero was (dare I say...) a bit too Neanderthal. Still, a solid start to Zanetti's new series."
760,2,2,0,"My three year old loved, LOVED, this book so much that afterwards we started role playing, with me as the Station Inspector and him as Hugo Cabret. Highly recommend."
123,1,1,0,"Read this many years ago, a superb book that changed my attitude to both war and humour (I was only 14!)"
303,2,2,0,"Pleasing and clever, especially with the use of the first-person to hide information, but probably not something I would have picked up on its own merits; what's been recommended to me is the series as a whole."
880,1,1,0,AWESOME READ!! FULL REVIEW TO COME
741,2,2,0,Loved this book. I'm just enjoying this whole world and these stories so much. There were so many brilliant and creative bits in this book that just really really made me appreciate Meyer as an author and a genius. I'm so excited to start Cress soon (and for more Thorne).
644,3,2,1,"I read this once in high school, and re-read it to my boys this year. It is wonderful--the pacing is good, the adventure unique and the main characters admirable (and loveable). We have now moved on to Fellowship of the Ring."
190,3,2,1,"I really ought to read this book again, but I have a very strong memory of flipping back through it after finishing the first time trying to figure out what the heck had just been going on. This book seemed to have several different stories in it, each following on from the previous one without resolving anything whatsoever from it, which just, I have to say, drove me nuts. They were all good and interesting stories, too, and I'd really like to know how they end! Maybe there's resolution in there that I just missed, but I'm not sure I could take the disappointment a second time if there isn't."
102,1,1,0,"If you look up the word ""love story"" in the dictionary, this book should be under the definition for it. It is an absolutely beautiful story about undying love. Amazing. ""Now you and I both know that I'll wait a lifetime for you- remember, Butterfly Weeds never give up..."" ""As for the war, I surrendered."" <3 This is still making me cry."
657,3,3,0,"Really enjoyed this one. It is not as good as the Eona Duology but this first book is obviously meant to set the foundation for the coming 2 books and as such, was slow at times but I didn't even find the slow bits to be tedious or anything of the sort and the story really picks up a fast pace in the last 200 pages or so. I genuinely can't wait to see where Goodman takes this story, it has such great potential. And as usual, the attention to historical detail is astounding. Goodman draws from real historical characters and events and I really admire a well-researched story."
569,2,2,0,Everything we believe about pirates comes from this story. Yo-ho-ho! And Long John Silver is a character like no other--except perhaps the Devil himself in Paradise Lost. Rip-roaring adventure!
857,1,1,0,"Loved this, loved Knight, but not as much of a detailed story as her other books. Read this one first but like Motorcycle Man better."
426,1,2,1,[image error] I am sorry but I felt like this book was all over the place and I was WTF ing the whole way through. I tried to like it but I just couldn't
964,1,1,0,Read for class
296,2,3,1,"I just love these books. To quote Joel: ""This is an excellent wrap-up to Lisbeth's story and the trilogy, leaving exactly one thread hanging, and a small one at that, which is remarkable considerng it's number three in a planned run of 10. It leaves Mikael and Lisbeth in a great place, and pays off pretty much everything that was established over the previous two books. That it does so with a histrionic courtroom scene, all the better. """
470,1,1,0,"Sieh and Nahadoth are the loves of my life now, and not only because they are Gods"
994,1,1,0,Listened to audiobook.
224,2,2,0,It must be exhausting to have that much imagination to be able to write such a long story from so many different perspectives... and then to go on to write several other books equally as long and complicated. I loved it :)
693,2,2,0,I remember trying 3 times to read this but I always gave up on page 3 or so. So I skipped to book 2 and then read the whole series then came back to this book. It's hard to review this book without taking in the series a as a whole.
236,2,2,0,"Pretty good until now, I am still at the beginning though. But I like the way it is written and the characters are awesome!"
353,1,1,0,I love Four. I want more!
238,2,2,0,"thought this was the best short story by far - shorter than the others but much better in terms of character development, moving on the story and the messaging behind it all."
566,2,2,0,"Ending happened a little fast for me, but I loved the style and felt like the telling of the story was creative. Stylistically, one of the more interesting and engaging books I've read this year."
995,1,1,0,Notes to follow.
448,1,1,0,review to come
999,1,1,0,Remarks to follow.
227,2,3,1,"Despite whatever, I am very affected. I am incredibly sad. I can hear see and witnessed the scenes, and despite it end the way it should, I wish it didn't. I wish there's alternate ending that would let me not see those scenes repeatedly. Oh, and this story is good. The second book was a bit boring, but the whole plot is good."
540,4,4,0,"3.5 stars A well-plotted story that reveals complex characters layer by ever-deepening layer, much as one might come to know persons in the real world, All the Missing Girls was a satisfying read. Although the reverse chronology worked for me for the most part, I found it annoying just past the midpoint of the book for 50 pages or so. However, the plot was compelling enough that I moved past that section/emotion - I'm not sure if that experience was related to the content or simply my tolerance - and regained the sense of being engaged and invested."
985,1,1,0,4.5 stars Listened to audiobook.
743,2,2,0,This was a fantastic (yet heartbreaking) conclusion to my favorite duology. Leigh Bardugo proves that you don't need very many books to write a captivating and well-structured series. The ending was bittersweet but still completely satisfying.
432,1,1,0,This book was dark and disheartening but still profound and deep.
221,3,3,0,"8th&up, 3.5 stars This bittersweet, suspenseful time travel romance should have plenty of appeal for teen readers. Cassie, the modern heroine, shows a lot of character growth as she changes from self-centered whiner to a confident and determined woman. Lawrence, the dreamy young man from the 1920s, goes through changes as well when he realizes that his world has a dark side that he must fight against if he is to stay true to his dreams and his heart. This book was obtained at BEA15 in exchange for an honest review."
702,2,2,0,"*I originially rated this 2 stars, but thinking back on this book I can't remember anything about it except that it was pretty boring, so rating has been dropped to 1 stars* *Original Review* It was okay I guess. Hayley was pretty irritating and boy, was she BITTER. Finn was alright, he was one of those eccentric young adult male love interests (*cough* Augustus *cough*). I don't really know whether or not I actually ""liked"" this book or not..."
390,1,1,0,review to come
902,1,2,1,"I'm going to read this to finish up my dypstopian book challenge for 2013 but before I even open the book I'm going to predict, right now, that Ky is the person Cassia ends up with."
9,4,4,0,"I love the study series, I really do, but five books in, not only am I questioning how often the characters get captured, but so are they! It's starting to get a bit repetitive in that respect. The Yelena/Valek scenes still get me right in the feels though and I really enjoyed the minor arc where Valek's past catches up to him and the ensuing plot twist that results. This feels very much like a ""second of a trilogy"" book - it's building to something huge and almost epic in the third, setting up some very high expectations. I'm desperately hoping Snyder can pull off what's needed for the scope of the conflict and still resolve everything in a satisfying way. As much as I love the characters and the world in the Study and Glass series, I would love to see Snyder turn her talents to something new after she finishes Dawn Study."
554,2,2,0,"Kristen did it again! The story of Frankie and Benny was just simply absolutely AMAZING!!! I could not put it down, so much so when finished I picked up the other burg books and started re-reading it to remember all the burg history. So if you haven't yet read it be sure to do sooo !!!"
665,2,2,0,One of my top 5 favorites. Read this at the deeper/figuring your life out moments - it will give you strength and inspiration.
26,2,2,0,I think I read a different book to everyone else. I was cringing every other sentence. I really enjoyed the first couple of books and then it just seemed to get away from the author. Perhaps I'm just getting older and more cynical with it. The ending just seemed way too easy. And I can't be bothered to say much else.
22,2,4,1,"I remember reading this in my early teens. While I don't remember everything in it I remember it really screwed with my head, in a good way. I was unaware it was part of a series and I'm kind of disappointed to find that out. The first worked well when I thought of it as a stand alone and I fear to read them or go back and reread this with the risk of tainting my fond memories of the first time I read it with my grown-up knowledge of quality books. But knowing there are sequels urges me to go back and revisit the series and I suspect I will revisit this series eventually. I suppose this review must serve as a reminder to myself that I did enjoy this book even if rereading does end up souring those memories."
31,3,3,0,"I really enjoyed this one. 16 y/o Janelle is a caretaker to her family due to a bipolar mother and a workaholic father. Her sense of responsibility is never damped, even when she inexplicably survives being killed in the opening. We all hear how an author has to make life hard for the character, and this book is filled with one tough choice after another. Fans of the ""it all works out"" shiny happy ending will not be satisfied, though the resolution is satisfying."
325,2,2,0,"It's hard for me to rate this book, because it's very clear when you come to the end that the second volume will be a continuation of the same story. Still, I will say that Valente is very clever (and sometimes maddening) in the way she has entwined all these stories together. I can't wait to start the second volume, but at the same time, I'm a little leery of going into the lion's den again!"
923,1,1,0,"4.5 stars. Man, can this guy write."
104,1,2,1,"It's hard to find a Gothic novel set in the very recent past that works, but this one fits the bill nicely. I want to go live in Black Rabbit Hall, as long as someone else pays for the repairs!"
967,1,1,0,There are no words. There will never be sufficient words ever again.
605,4,4,0,"A creepy Lolita-like tale brought wittily up to date by a very sharp writer. Although some of the scenes are a touch too graphic for my tastes, the unfailing narcissism and blindness of the protagonist propel the story and the humor forward through increasingly you-have-got-to-be-kidding plot developments. The pages are filled with insightful, quirky, dark humor. And there is a sadness flowing through the narration that is barely visible until the very last scenes when there is a sense of boundless devastation. Although in the story there is only one prosecution, in the course of the narrative, everyone, society included, is indicted."
234,2,2,0,Easy to read. Boring. Pretentious. Unrealistic. Left me unmoved and a little annoyed.
1000,1,1,0,"Would be very interesting to reread, especially after rereading The Great Gatsby."
738,2,2,0,Completely loved the start to this series. It captivated me in a way that reminded me of when I first started the City of Bones series. I loved the characters and this magical world is like nothing I've ever read before. I can't wait to see where this story goes from here.
272,2,2,0,"This is just terrible all around. The plot is stupid, the characters are bland cliches, and the writing itself is colorless and dull."
456,1,2,1,"Meh. It's an interesting world, but the helplessness of the central female character grated."
712,2,1,1,"Um. Can I have the second book now? Pretty please? Seriously, this was the first book in MONTHS that I have read in less than a day. It was just that compelling and interesting. Can't wait for the next book!"
2,3,2,1,"In a way I never expected it, this topped the first book. My eyes are so sore of crying now and my heart feels like it has been ripped from my chest. Lucien being my favorite in the first book has been replaced by Arziel and Cassian although I do have a lot of love for Rhys too. I just love my Illyrian boys. Although I am physically sore from reading this book, I haven't read such an awesome story in years. Definitely recommend this book to any and every YA reader"
785,2,2,0,"Great introduction of this world I've been a JLA fan for several years, but somehow never got around to reading this series. After this prequel I'm ready to dive in. I really loved Jas as a character and found her very relatable."
780,2,2,0,"What a heroine! I could not put this down! Distilled amorallity wrapped up in beauty, a desire for material goods. No, I guess things can not make you happy, but maybe you don't even care."
622,3,2,1,"A powerfully written story that will take your breath away. You will not be able to tear yourself away from the story of Sophie and Ian. The writing is flawless and the character development perfect. Unforgettable first-kiss scene! Seriously, this book needs to be made into a movie. Put this at the top of your to-read list for 2013."
443,1,1,0,I liked this book will have review up on blog and here in a few days. Just got back from holidays so catching up.
399,1,1,0,Review to come
855,1,1,0,"Fantastic book. Couldn't put it down. Ranks up there with Bared to You, Gabriel's Inferno and 50 Shades. You will not be disappointed."
914,1,2,1,"Eh. Took me about a month to read this. Honestly, I was sort of uninterested. It MIGHT have been because I'd just finish playing the Last of Us. Quite frankly, I think that the story works better in video game form."
29,4,2,1,"My second favorite of the epic series. Claire's adventures in in 17th century Scotland are lush and memorable. Yes, there is strife, witch hunts, and sadistic army captains, but there is love, too. Lots of it. Jamie Fraser is the stuff men should be made of."
499,1,2,1,"Enjoyed this, the culture is best enjoyed in its dealings with other societies. Certainly the books tend to be far more fun."
96,1,2,1,"I'm not quite sure what I expected from this book, but that wasn't it. I'm really impressed in a lot of ways with the protagonist of this book, and I think I'm going to be a while unpacking that into something that's more of a review, but there you go anyway. I'm awfully glad that there's not a long wait for the sequel."
214,3,3,0,"Detective Barry Duckworth doesn't know which way to turn. Recently trouble has haunted Promise Falls, and now a mysterious and deadly illness has spread like wildfire all across the little town. When signs begin to point to a deliberate act of terror, Duckworth wonders if someone has decided that the time has come for the people of Promise Falls to pay for past sins. The Twenty-Three opens with a bang and keeps moving fast and furious throughout. Previous visitors to this creepy little town will be more than satisfied with the twists and turns that Barclay serves up. This book was obtained though NetGalley, with thanks to Berkley Publishing Group, in exchange for an honest review."
807,1,1,0,Listened it on tape on a road trip... thoroughly enjoyed it!
388,1,1,0,Re-read August 2016.
667,2,2,0,"This might be the most deliciously dirty Alexa Riley story ever. I mean, look at the plot, ""stepdad"" and ""stepbrother"" want to f*k the teenager living with them in their trailer. But it's all very sweet and in good fun even though it is nasty and totally forbidden! If you have about 1/2 hour to spare, prepare yourself for a fun, filthy, sexy, erotic story. Loved it!"
483,1,1,0,I am in love with this story and these characters.
460,1,2,1,"I read it online, at Subterranean Magazine, after I saw the Nebula nominees list had a link for it. Like most Ted Chiang stories, I need to think about it for a while to even know where to start pondering!"
779,2,2,0,"The same scene told from different view points, steam of consciousness writing, all linking together. Like an LSD trip--really takes you away. Read it late at night sipping a little something."
507,4,3,1,"This story had so much promise! And I love Whitney G. 's writing style; in fact, Turbulence was one of my favorite books this year. This was a cute, fast read BUT several typos later and a heroine who sends sexually explicit emails from her work account and I'm out. Moving on with high hopes for this author's next book. Call me an eternal optimist."
120,2,3,1,"I adore this book! If it wasn't for one thing, this book would have been perfect. But nothing bothers me most than when a ""sex scene"" is used wrongly, like when are in a life threatening trouble and they decide to fornicate anyway because the sex tension is unbearable. It just makes me mad. But past that, Alexia is a great character -incredible funny and witty and the right ""sex scenes"" make me giggle Obviously the book is so much more than that, a well paranormal intriguing story with an also great plot full of humor."
261,2,2,0,"There were many cool bits of writing in this book. However, despite some great scenes/situations I had problems with how the book was paced."
64,2,3,1,"You know a story is perfectly executed when you have never experienced the kind of life the main character is living, yet you find that you relate to her (or in this case, many of them). Told through various POVs and staying true to its name, this story was ugly, wonderful, and most of all moving."
782,2,2,0,"This idiot is a true idiot, in the style of a sort of warmed over Jesus type, but incanting a sort of ""can't we all get along?"" refrain while pining over a girl of questionable morals (for the day) and plotting against a rival. Many funny moments, which keep it going."
821,1,1,0,"3.5 stars, review to follow"
867,1,1,0,Review Coming Soon...
582,1,1,0,"After 10,000 years I have finally finished this book. There was a lot of telling not showing."
137,4,3,1,"Everyone knows the basics of the true story of Lizzie Borden and the scandalous murder of her father and stepmother, but Sarah Schmidt delves into that event with a chilling and slippery tale that offers new perspective to the old tale. Readers will be drawn down into the madness of the Borden household, and they'll be left wondering about the full truth of the event until the final pages. Thanks to Atlantic/Ingram for providing this ARC in exchange for an honest review."
,,,57,